ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01258,38340,SOUTH EGREMONT,MA,1.000000000,1.000000000,1.000000000,1.000000000
01259,38340,SOUTHFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01260,38340,SOUTH LEE,MA,0.000000000,0.000000000,1.000000000,1.000000000
01262,38340,STOCKBRIDGE,MA,0.000000000,0.000000000,1.000000000,1.000000000
01263,38340,STOCKBRIDGE,MA,0.000000000,1.000000000,0.000000000,1.000000000
01264,38340,TYRINGHAM,MA,0.000000000,0.000000000,1.000000000,1.000000000
01266,38340,WEST STOCKBRIDGE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01267,38340,WILLIAMSTOWN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01270,38340,WINDSOR,MA,1.000000000,1.000000000,1.000000000,1.000000000
01301,44140,GREENFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01302,44140,GREENFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
