Do you live in the Midwest or the South?,"Do you live in the Midwest, the Great Plains, or the West?","Do you live in the Midwest, Appalachia, or the South?",What is your party affiliation/registration?,What is your age range?,"For statistical purposes only, can you please tell me your ethnicity?",What is the highest level of education you have attained?,Can you please tell me your gender?,ZIP,ZIP3,STATE,weights
#NULL!,2,#NULL!,4,4,2,2,2,57106,571,4,0.67
#NULL!,1,#NULL!,4,4,2,5,2,57006,570,4,0.72
#NULL!,1,#NULL!,4,4,2,5,2,57006,570,4,0.72
#NULL!,2,#NULL!,4,4,2,5,2,57103,571,4,0.72
#NULL!,1,#NULL!,4,4,2,5,2,57106,571,4,0.72
#NULL!,1,#NULL!,4,4,2,5,2,57108,571,4,0.72
#NULL!,2,#NULL!,4,4,2,5,2,57110,571,4,0.72
#NULL!,1,#NULL!,4,4,2,4,2,57105,571,4,0.77
#NULL!,1,#NULL!,4,4,2,4,2,57108,571,4,0.77
#NULL!,2,#NULL!,4,4,2,4,2,57652,576,4,0.77
#NULL!,1,#NULL!,4,4,2,3,2,57103,571,4,0.79
#NULL!,1,#NULL!,4,4,2,3,2,57106,571,4,0.79
#NULL!,1,#NULL!,4,4,2,3,2,57106,571,4,0.79
#NULL!,1,#NULL!,4,4,2,3,2,57701,577,4,0.79
#NULL!,2,#NULL!,4,4,2,3,2,57702,577,4,0.79
#NULL!,2,#NULL!,4,4,2,3,2,57702,577,4,0.79
#NULL!,2,#NULL!,4,4,5,3,2,57380,573,4,0.80
#NULL!,1,#NULL!,4,4,2,5,2,57006,570,4,0.91
#NULL!,2,#NULL!,4,4,4,3,2,57401,574,4,0.94
#NULL!,1,#NULL!,4,4,2,1,1,57103,571,4,0.94
#NULL!,2,#NULL!,4,4,5,1,1,57701,577,4,0.95
#NULL!,1,#NULL!,4,4,2,1,2,57701,577,4,0.95
#NULL!,2,#NULL!,4,4,2,1,2,57760,577,4,0.95
#NULL!,1,#NULL!,4,4,2,3,2,57049,570,4,1.00
#NULL!,1,#NULL!,4,4,2,3,2,57049,570,4,1.00
#NULL!,2,#NULL!,4,4,2,3,2,57104,571,4,1.00
#NULL!,1,#NULL!,4,4,2,3,2,57106,571,4,1.00
#NULL!,1,#NULL!,4,4,2,3,2,57701,577,4,1.00
#NULL!,1,#NULL!,4,4,2,3,2,57701,577,4,1.00
#NULL!,1,#NULL!,4,4,2,2,2,57481,574,4,1.05
#NULL!,1,#NULL!,4,4,3,4,1,57108,571,4,1.15
#NULL!,1,#NULL!,4,4,2,1,1,57751,577,4,1.19
#NULL!,2,#NULL!,4,4,2,4,1,57006,570,4,1.21
#NULL!,1,#NULL!,4,4,2,4,1,57105,571,4,1.21
#NULL!,2,#NULL!,4,4,2,4,1,57105,571,4,1.21
#NULL!,3,#NULL!,4,4,2,4,2,57735,577,4,1.21
#NULL!,2,#NULL!,4,4,2,5,1,57030,570,4,1.42
#NULL!,1,#NULL!,4,4,2,5,1,57069,570,4,1.42
#NULL!,1,#NULL!,4,4,3,3,1,57013,570,4,1.44
#NULL!,2,#NULL!,4,4,2,4,1,57719,577,4,1.52
#NULL!,2,#NULL!,4,4,5,3,2,57751,577,4,1.49
#NULL!,1,#NULL!,4,4,2,3,1,57108,571,4,1.56
#NULL!,2,#NULL!,4,4,5,3,1,57570,575,4,1.58
#NULL!,1,#NULL!,4,4,2,3,2,57032,570,4,1.57
#NULL!,1,#NULL!,4,4,2,3,2,57069,570,4,1.57
#NULL!,1,#NULL!,4,4,2,3,2,57103,571,4,1.57
#NULL!,1,#NULL!,4,4,2,3,2,57701,577,4,1.57
#NULL!,2,#NULL!,4,4,2,1,1,57301,573,4,1.86
#NULL!,2,#NULL!,4,4,2,1,1,57301,573,4,1.86
#NULL!,1,#NULL!,4,4,5,3,1,57625,576,4,1.91
#NULL!,1,#NULL!,4,4,2,3,1,57783,577,4,1.97
#NULL!,2,#NULL!,4,4,1,4,2,57069,570,4,1.91
#NULL!,1,#NULL!,4,4,2,2,1,57642,576,4,2.07
#NULL!,2,#NULL!,4,4,2,4,1,57401,574,4,2.39
#NULL!,1,#NULL!,4,4,2,3,1,57005,570,4,3.09
#NULL!,1,#NULL!,4,4,2,3,1,57005,570,4,3.09
#NULL!,1,#NULL!,4,4,2,3,1,57106,571,4,3.09
#NULL!,2,#NULL!,4,4,2,3,1,57301,573,4,3.09
#NULL!,1,#NULL!,4,4,2,3,1,57719,577,4,3.09
#NULL!,2,#NULL!,4,3,2,1,2,57020,570,4,0.54
